state,district,year,fold,first_outbreak_week,peak_week,peak_cases,total_outbreak_weeks,outbreak_threshold,bayesian_trigger_week,xgboost_trigger_week,lead_time_bayesian,lead_time_xgboost,differential_lead,bayesian_threshold,xgboost_threshold
Karnataka,Tumkur,2019,fold_2019,5,5,4.2791,2,1.32745,,,-1,-1,,3.6588475900125,0.9282742738723755
Karnataka,Tumkur,2021,fold_2021,37,37,1.9677,1,1.335225,,,-1,-1,,3.693302724325,0.9308274984359741
